train_id,train_name,source,destination,arrival_time,departure_time,train_type,priority,max_speed,passenger_count,goods_weight
16616,CHEMMOZHI EXP,CBE,MQ,00:30,,Express,3,110,720,
16614,RAJKOT EXPRESS,CBE,RJT,00:45,,Passenger,2,90,410,
06064,DHN CBE PUJA SPL,DHN,CBE,03:45,,Premium,4,130,1180,
16615,CHEMMOZHI EXP,MQ,CBE,04:45,,Local,1,60,260,
56113,CBE POY PASSENGER,CBE,POY,05:20,,Express,3,110,680,
22666,CBE SBC UDAY EXP,CBE,SBC,05:45,,Passenger,2,90,540,
12673,CHERAN EXPRESS,MAS,CBE,06:00,,Premium,4,130,1250,
20644,MAS VANDEBHARAT,CBE,MAS,06:00,,Local,1,60,480,
22610,INTERCITY EXP,CBE,MAQ,06:00,,Express,3,110,710,
22616,TIRUPATI SF EXP,CBE,TPTY,06:10,,Passenger,2,90,590,
12680,CHENNAI EXPRESS,CBE,MAS,06:20,,Premium,4,130,1320,
16617,COIMBATORE EXP,RMM,CBE,06:30,,Local,1,60,300,
12648,KONGU EXPRESS,NZM,CBE,06:30,,Express,3,110,980,
12681,COIMBATORE EXP,MAS,CBE,06:30,,Passenger,2,90,620,
11013,COIMBATORE EXP,LTT,CBE,06:50,,Premium,4,130,1180,
22667,COIMBATORE EXP,NCJ,CBE,07:15,,Local,1,60,270,
12084,JAN SHATABDI EXP,CBE,MV,07:15,,Express,3,110,840,
20642,BNC VANDEBHARAT,CBE,BNC,07:25,,Passenger,2,90,910,
16323,CBE MAQ EXPRESS,CBE,MAQ,07:50,,Premium,4,130,760,
03680,CBE DHN SPL,CBE,DHN,07:50,,Local,1,60,230,
16322,CBE NCJ EXPRESS,CBE,NCJ,08:00,,Express,3,110,690,
11014,CBE LTT EXP,CBE,LTT,08:50,,Passenger,2,90,610,
66606,PGTN CBE EMU,PGTN,CBE,09:05,,Premium,4,130,1040,
12969,CBE JAIPUR EXP,CBE,JP,09:25,,Local,1,60,260,
56110,POY CBE PASSENGER,POY,CBE,09:25,,Express,3,110,580,
66601,ED CBE MEMU,ED,CBE,10:10,,Passenger,2,90,490,
56604,SRR CBE PASSENGER,SRR,CBE,11:05,,Premium,4,130,1010,
66613,MTP CBE MEMU,MTP,CBE,11:40,,Local,1,60,240,
16722,MDU CBE INTERCITY,MDU,CBE,12:10,,Express,3,110,720,
16607,CAN CBE EXP,CAN,CBE,13:45,,Passenger,2,90,610,
12675,KOVAI EXPRESS,MAS,CBE,14:05,,Premium,4,130,1380,
12243,SHATABDI EXP,MAS,CBE,14:15,,Local,1,60,520,
22475,HSR CBE AC EXP,HSR,CBE,14:30,,Express,3,110,670,
12676,KOVAI EXP,CBE,MAS,15:15,,Passenger,2,90,640,
12647,KONGU EXPRESS,CBE,NZM,16:25,,Premium,4,130,1220,
12970,JP CBE SUP EXP,JP,CBE,16:50,,Local,1,60,280,
66617,MTP CBE MEMU,MTP,CBE,17:30,,Express,3,110,610,
22609,INTERCITY EXP,MAQ,CBE,18:25,,Passenger,2,90,580,
22668,NAGERCOIL EXP,CBE,NCJ,19:30,,Premium,4,130,820,
16324,MAQ CBE EXPRESS,MAQ,CBE,19:55,,Local,1,60,250,
20643,CBE VANDEBHARAT,MAS,CBE,20:15,,Express,3,110,930,
22665,SBC CBE UDAY EXP,SBC,CBE,21:05,,Passenger,2,90,620,
12515,CBE SCL SF EXP,CBE,SCL,22:00,,Premium,4,130,1150,
12679,COIMBATORE EXP,MAS,CBE,22:20,,Local,1,60,260,
12674,CHERAN EXPRESS,CBE,MAS,22:50,,Express,3,110,740,
12682,CHENNAI EXP,CBE,MAS,23:30,,Passenger,2,90,630,
90001,CBE SALEM GOODS,CBE,SA,04:00,,Goods,1,50,,Heavy
90002,SA CBE GOODS,SA,CBE,11:30,,Goods,1,50,,Medium
90003,CBE ERODE GOODS,CBE,ED,18:40,,Goods,1,50,,Low
